katakana,english,done
アパート,apartment,0
バス,bus,0
バター,butter,0
ベッド,bed,0
ボールペン,ball-point pen,0
ボタン,button,0
デパート,department store,0
ドア,door,0
エレベーター,elevator,0
フィルム,film,0
フォーク,fork,0
ギター,guitar,0
グラム,gram,0
ハンカチ,handkerchief,0
ホテル,hotel,0
カメラ,camera,0
カップ,cup,0
カレー,curry,0
カレンダー,calendar,0
キログラム,kilogram,0
キロメートル,kilometer,0
コーヒー,coffee,0
コート,coat,0
コピー,photocopy,0
コップ,drinking cup,0
クラス,class,0
マッチ,match,0
メートル,meter,0
ナイフ,knife,0
ネクタイ,necktie,0
ノート,notebook,0
ニュース,news,0
パーティー,party,0
パン,bread,0
ページ,page,0
ペン,pen,0
ペット,pet,0
ポケット,pocket,0
ポスト,post,0
プール,swimming pool,0
ラジオ,radio,0
レコード,record,0
レストラン,restaurant,0
セーター,sweater,0
シャツ,shirt,0
シャワー,shower,0
スカート,skirt,0
スポーツ,sports,0
スプーン,spoon,0
スリッパ,slippers,0
ストーブ,stove,0
タクシー,taxi,0
テーブル,table,0
テープ,tape,0
アジア,Asia,0
テレビ,television,0
テスト,test,0
トイレ,toilet,0
アルバイト,part-time job,0
ゼロ,zero,0
ズボン,trousers,0
アルコール,alcohol,0
アメリカ,America,0
ビル,building,0
チェック,to check,0
エスカレーター,escalator,0
ファクス,fax,0
ジャム,jam,0
カーテン,curtain,0
ケーキ,cake,0
コンサート,concert,0
コンピューター,computer,0
オートバイ,motorcycle,0
ピアノ,piano,0
プレゼント,gift/present,0
サラダ,salad,0
レジ,cashier,0
サンドイッチ,sandwich,0
レシピ,recipe,0
サンダル,sandals,0
ステーキ,steak,0
タイプ,type,0
テニス,tennis,0
スーツ,suit,0











